,index,id,gameType,gameDate,gameState,awayTeam.id,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.abbrev,homeTeam.score,winner_id,loser_id,is_cup_game,is_next_game
216,14,2024020111,2,2024-10-24,FUT,1,NJD,,17,DET,,0,0,False,False
217,282,2024020112,2,2024-10-24,FUT,30,MIN,,14,TBL,,0,0,False,False
218,1428,2024020113,2,2024-10-24,FUT,13,FLA,,3,NYR,,0,0,False,False
219,458,2024020114,2,2024-10-24,FUT,12,CAR,,20,CGY,,0,0,False,False
220,901,2024020115,2,2024-10-24,FUT,21,COL,,59,UTA,,0,0,False,False
221,2404,2024020116,2,2024-10-24,FUT,52,WPG,,55,SEA,,0,0,False,False
222,1962,2024020117,2,2024-10-24,FUT,28,SJS,,26,LAK,,0,0,False,False
223,1165,2024020118,2,2024-10-25,FUT,9,OTT,,54,VGK,,0,0,False,False
224,1873,2024020119,2,2024-10-25,FUT,2,NYI,,1,NJD,,0,0,False,False
225,988,2024020120,2,2024-10-25,FUT,18,NSH,,16,CHI,,0,0,False,False
226,194,2024020121,2,2024-10-25,FUT,5,PIT,,22,EDM,,0,0,False,False
227,15,2024020122,2,2024-10-26,FUT,17,DET,,7,BUF,,0,0,False,False
228,371,2024020123,2,2024-10-26,FUT,30,MIN,,4,PHI,,0,0,False,False
229,1963,2024020124,2,2024-10-26,FUT,59,UTA,,26,LAK,,0,0,False,False
230,105,2024020125,2,2024-10-26,FUT,10,TOR,,6,BOS,,0,0,False,False
231,637,2024020126,2,2024-10-26,FUT,19,STL,,8,MTL,,0,0,False,False
232,283,2024020127,2,2024-10-26,FUT,15,WSH,,14,TBL,,0,0,False,False
233,1076,2024020128,2,2024-10-26,FUT,24,ANA,,3,NYR,,0,0,False,False
234,549,2024020129,2,2024-10-26,FUT,52,WPG,,20,CGY,,0,0,False,False
235,1521,2024020130,2,2024-10-26,FUT,13,FLA,,2,NYI,,0,0,False,False
236,989,2024020131,2,2024-10-26,FUT,29,CBJ,,18,NSH,,0,0,False,False
237,1254,2024020132,2,2024-10-26,FUT,16,CHI,,25,DAL,,0,0,False,False
238,195,2024020133,2,2024-10-26,FUT,5,PIT,,23,VAN,,0,0,False,False
239,1166,2024020134,2,2024-10-26,FUT,28,SJS,,54,VGK,,0,0,False,False
240,459,2024020135,2,2024-10-26,FUT,12,CAR,,55,SEA,,0,0,False,False
241,16,2024020136,2,2024-10-27,FUT,22,EDM,,17,DET,,0,0,False,False
242,1077,2024020137,2,2024-10-27,FUT,24,ANA,,1,NJD,,0,0,False,False
243,372,2024020138,2,2024-10-27,FUT,8,MTL,,4,PHI,,0,0,False,False
244,902,2024020139,2,2024-10-27,FUT,9,OTT,,21,COL,,0,0,False,False
245,1522,2024020140,2,2024-10-28,FUT,13,FLA,,7,BUF,,0,0,False,False
246,284,2024020141,2,2024-10-28,FUT,18,NSH,,14,TBL,,0,0,False,False
247,1611,2024020142,2,2024-10-28,FUT,22,EDM,,29,CBJ,,0,0,False,False
248,2230,2024020143,2,2024-10-28,FUT,10,TOR,,52,WPG,,0,0,False,False
249,903,2024020144,2,2024-10-28,FUT,16,CHI,,21,COL,,0,0,False,False
250,2583,2024020145,2,2024-10-28,FUT,28,SJS,,59,UTA,,0,0,False,False
251,460,2024020146,2,2024-10-28,FUT,12,CAR,,23,VAN,,0,0,False,False
252,550,2024020147,2,2024-10-28,FUT,20,CGY,,54,VGK,,0,0,False,False
253,106,2024020148,2,2024-10-29,FUT,4,PHI,,6,BOS,,0,0,False,False
254,639,2024020149,2,2024-10-29,FUT,55,SEA,,8,MTL,,0,0,False,False
255,1788,2024020150,2,2024-10-29,FUT,19,STL,,9,OTT,,0,0,False,False
256,725,2024020151,2,2024-10-29,FUT,3,NYR,,15,WSH,,0,0,False,False
257,1078,2024020152,2,2024-10-29,FUT,24,ANA,,2,NYI,,0,0,False,False
258,196,2024020153,2,2024-10-29,FUT,30,MIN,,5,PIT,,0,0,False,False
259,1964,2024020154,2,2024-10-29,FUT,26,LAK,,28,SJS,,0,0,False,False
260,1876,2024020155,2,2024-10-30,FUT,2,NYI,,29,CBJ,,0,0,False,False
261,17,2024020156,2,2024-10-30,FUT,52,WPG,,17,DET,,0,0,False,False
262,285,2024020157,2,2024-10-30,FUT,14,TBL,,21,COL,,0,0,False,False
263,551,2024020158,2,2024-10-30,FUT,20,CGY,,59,UTA,,0,0,False,False
264,814,2024020159,2,2024-10-30,FUT,1,NJD,,23,VAN,,0,0,False,False
265,1168,2024020160,2,2024-10-30,FUT,54,VGK,,26,LAK,,0,0,False,False
266,2231,2024020161,2,2024-10-31,FUT,55,SEA,,10,TOR,,0,0,False,False
