,index,id,gameType,gameDate,gameState,awayTeam.id,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.abbrev,homeTeam.score,winner_id,loser_id,is_cup_game,is_next_game
215,370,2023020105,2,2023-10-26,OFF,21,COL,0.0,5,PIT,4.0,5,21,False,False
216,817,2023020106,2,2023-10-26,OFF,28,SJS,0.0,14,TBL,6.0,14,28,False,False
217,1706,2023020107,2,2023-10-26,OFF,9,OTT,2.0,2,NYI,3.0,2,9,False,False
218,192,2023020108,2,2023-10-26,OFF,10,TOR,4.0,25,DAL,1.0,10,25,False,False
219,461,2023020109,2,2023-10-26,OFF,19,STL,3.0,20,CGY,0.0,19,20,False,False
220,282,2023020110,2,2023-10-26,OFF,3,NYR,3.0,22,EDM,0.0,3,22,False,False
221,14,2023020111,2,2023-10-27,OFF,16,CHI,4.0,54,VGK,3.0,16,54,False,False
222,729,2023020112,2,2023-10-27,OFF,28,SJS,0.0,12,CAR,3.0,12,28,False,False
223,102,2023020113,2,2023-10-27,OFF,7,BUF,4.0,1,NJD,5.0,1,7,False,False
224,1172,2023020114,2,2023-10-27,OFF,30,MIN,2.0,15,WSH,3.0,15,30,False,False
225,1083,2023020115,2,2023-10-27,OFF,26,LAK,5.0,53,ARI,4.0,26,53,False,False
226,1526,2023020116,2,2023-10-27,OFF,19,STL,0.0,23,VAN,5.0,23,19,False,False
227,2328,2023020117,2,2023-10-28,OFF,24,ANA,7.0,4,PHI,4.0,24,4,False,False
228,639,2023020118,2,2023-10-28,OFF,55,SEA,2.0,13,FLA,3.0,13,55,False,False
229,993,2023020119,2,2023-10-28,OFF,17,DET,1.0,6,BOS,4.0,6,17,False,False
230,1617,2023020120,2,2023-10-28,OFF,2,NYI,2.0,29,CBJ,0.0,2,29,False,False
231,905,2023020121,2,2023-10-28,OFF,52,WPG,3.0,8,MTL,4.0,8,52,False,False
232,193,2023020122,2,2023-10-28,OFF,10,TOR,2.0,18,NSH,3.0,18,10,False,False
233,1437,2023020123,2,2023-10-28,OFF,9,OTT,5.0,5,PIT,2.0,9,5,False,False
234,1260,2023020124,2,2023-10-28,OFF,3,NYR,4.0,23,VAN,3.0,3,23,False,False
235,15,2023020125,2,2023-10-28,OFF,54,VGK,4.0,26,LAK,3.0,54,26,False,False
236,371,2023020126,2,2023-10-29,OFF,21,COL,0.0,7,BUF,4.0,7,21,False,False
237,103,2023020127,2,2023-10-29,OFF,30,MIN,3.0,1,NJD,4.0,1,30,False,False
238,1971,2023020128,2,2023-10-29,OFF,28,SJS,1.0,15,WSH,3.0,15,28,False,False
239,283,2023020129,2,2023-10-29,OFF,20,CGY,2.0,22,EDM,5.0,22,20,False,False
240,640,2023020130,2,2023-10-30,OFF,13,FLA,2.0,6,BOS,3.0,6,13,False,False
241,730,2023020131,2,2023-10-30,OFF,12,CAR,3.0,4,PHI,2.0,12,4,False,False
242,1438,2023020132,2,2023-10-30,OFF,24,ANA,4.0,5,PIT,3.0,24,5,False,False
243,818,2023020133,2,2023-10-30,OFF,55,SEA,4.0,14,TBL,3.0,55,14,False,False
244,1795,2023020134,2,2023-10-30,OFF,17,DET,4.0,2,NYI,3.0,17,2,False,False
245,906,2023020135,2,2023-10-30,OFF,3,NYR,3.0,52,WPG,2.0,3,52,False,False
246,549,2023020136,2,2023-10-30,OFF,29,CBJ,3.0,25,DAL,5.0,25,29,False,False
247,2419,2023020137,2,2023-10-30,OFF,16,CHI,1.0,53,ARI,8.0,53,16,False,False
248,16,2023020138,2,2023-10-30,OFF,8,MTL,2.0,54,VGK,3.0,54,8,False,False
249,194,2023020139,2,2023-10-31,OFF,26,LAK,4.0,10,TOR,1.0,26,10,False,False
250,1884,2023020140,2,2023-10-31,OFF,18,NSH,2.0,23,VAN,5.0,23,18,False,False
251,2062,2023020141,2,2023-11-01,OFF,7,BUF,5.0,4,PHI,2.0,7,4,False,False
252,463,2023020142,2,2023-11-01,OFF,25,DAL,4.0,20,CGY,3.0,25,20,False,False
253,372,2023020143,2,2023-11-01,OFF,19,STL,1.0,21,COL,4.0,21,19,False,False
254,2330,2023020144,2,2023-11-01,OFF,53,ARI,3.0,24,ANA,4.0,24,53,False,False
255,195,2023020145,2,2023-11-02,OFF,10,TOR,2.0,6,BOS,3.0,6,10,False,False
256,819,2023020146,2,2023-11-02,OFF,14,TBL,2.0,29,CBJ,4.0,29,14,False,False
257,641,2023020147,2,2023-11-02,OFF,13,FLA,2.0,17,DET,0.0,13,17,False,False
258,731,2023020148,2,2023-11-02,OFF,12,CAR,1.0,3,NYR,2.0,3,12,False,False
