,id,season,gameType,gameDate,startTimeUTC,gameState,awayTeam.id,awayTeam.placeName.default,awayTeam.abbrev,awayTeam.logo,awayTeam.score,homeTeam.id,homeTeam.placeName.default,homeTeam.abbrev,homeTeam.logo,homeTeam.score,winnerId,loserId,cupGame,nextGame
1094,2024021095,20242025,2,2025-03-20,2025-03-20 23:30:00+00:00,OFF,23,Vancouver,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,3,19,St. Louis,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,4,19,23,False,False
1095,2024021096,20242025,2,2025-03-20,2025-03-21 00:00:00+00:00,OFF,24,Anaheim,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,4,18,Nashville,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,1,24,18,False,False
1096,2024021097,20242025,2,2025-03-20,2025-03-21 00:00:00+00:00,OFF,14,Tampa Bay,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,3,25,Dallas,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,2,14,25,False,False
1097,2024021098,20242025,2,2025-03-20,2025-03-21 00:30:00+00:00,OFF,26,Los Angeles,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,3,16,Chicago,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,1,26,16,False,False
1098,2024021099,20242025,2,2025-03-20,2025-03-21 01:00:00+00:00,OFF,52,Winnipeg,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,4,22,Edmonton,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,3,52,22,False,False
1099,2024021100,20242025,2,2025-03-20,2025-03-21 01:00:00+00:00,OFF,7,Buffalo,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,2,59,Utah,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,5,59,7,False,False
1100,2024021101,20242025,2,2025-03-20,2025-03-21 02:00:00+00:00,OFF,6,Boston,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,1,54,Vegas,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,5,54,6,False,False
1101,2024021102,20242025,2,2025-03-20,2025-03-21 02:30:00+00:00,OFF,12,Carolina,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,3,28,San Jose,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,1,12,28,False,False
1102,2024021103,20242025,2,2025-03-21,2025-03-21 23:00:00+00:00,OFF,29,Columbus,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,3,5,Pittsburgh,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,6,5,29,False,False
1103,2024021104,20242025,2,2025-03-22,2025-03-22 17:00:00+00:00,OFF,23,Vancouver,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,3,3,New York,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,5,3,23,False,False
1104,2024021105,20242025,2,2025-03-22,2025-03-22 18:00:00+00:00,OFF,4,Philadelphia,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,2,25,Dallas,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,3,25,4,False,False
1105,2024021106,20242025,2,2025-03-22,2025-03-22 18:00:00+00:00,OFF,7,Buffalo,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,1,30,Minnesota,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,4,30,7,False,False
1106,2024021107,20242025,2,2025-03-22,2025-03-22 19:00:00+00:00,OFF,16,Chicago,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,1,19,St. Louis,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,4,19,16,False,False
1107,2024021108,20242025,2,2025-03-22,2025-03-22 20:00:00+00:00,OFF,20,Calgary,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,4,2,New York,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,3,20,2,True,False
1108,2024021109,20242025,2,2025-03-22,2025-03-22 20:00:00+00:00,OFF,12,Carolina,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,2,26,Los Angeles,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,7,26,12,False,False
1109,2024021110,20242025,2,2025-03-22,2025-03-22 21:00:00+00:00,OFF,13,Florida,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,3,15,Washington,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,6,15,13,False,False
1110,2024021111,20242025,2,2025-03-22,2025-03-22 21:00:00+00:00,OFF,14,Tampa Bay,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,4,59,Utah,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,6,59,14,False,False
1111,2024021112,20242025,2,2025-03-22,2025-03-22 23:00:00+00:00,OFF,21,Colorado,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,5,8,Montréal,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,4,21,8,False,False
1112,2024021113,20242025,2,2025-03-22,2025-03-22 23:00:00+00:00,OFF,9,Ottawa,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,3,1,New Jersey,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,2,9,1,False,False
1113,2024021114,20242025,2,2025-03-22,2025-03-22 23:00:00+00:00,OFF,10,Toronto,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,2,18,Nashville,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,5,18,10,False,False
1114,2024021115,20242025,2,2025-03-22,2025-03-23 00:00:00+00:00,OFF,17,Detroit,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,3,54,Vegas,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,6,54,17,False,False
1115,2024021116,20242025,2,2025-03-22,2025-03-23 02:00:00+00:00,OFF,55,Seattle,SEA,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,4,22,Edmonton,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,5,22,55,False,False
